id,user_id,experiment_id,scenario_type,event_type,event_state,event_datetime
0,AB,1,T2_BasicEmergency,00001,Completed,2024-10-25 13:50:11.132
1,AB,1,T2_BasicEmergency,T2001,Started,2024-10-25 13:50:34.402
2,AB,1,T2_BasicEmergency,T2001,Completed,2024-10-25 13:51:5.500
3,AB,1,T2_BasicEmergency,T2002,Started,2024-10-25 13:51:5.540
4,AB,1,T2_BasicEmergency,T2002,Completed,2024-10-25 13:52:12.76
5,AB,1,T2_BasicEmergency,T2003,Started,2024-10-25 13:52:12.122
6,AB,1,T2_BasicEmergency,T2003,Completed,2024-10-25 13:53:3.560
7,AB,1,T2_BasicEmergency,T2004,Started,2024-10-25 13:53:3.607
8,AB,1,T2_BasicEmergency,T2004,Completed,2024-10-25 13:53:46.927
9,AB,1,T2_BasicEmergency,T2005,Started,2024-10-25 13:53:46.971
10,AB,1,T2_BasicEmergency,T2005,Completed,2024-10-25 13:54:37.682
11,AB,1,T2_BasicEmergency,00002,Completed,2024-10-25 13:55:9.469
