id,user_id,scenario_type,actor_id,num_of_actors,event_datetime
0,"11","T1_BasicMechanics","[2;]","[3;]","2024-9-12 15:56:28.822"
1,"11","T1_BasicMechanics","[3;]","[1;]","2024-9-12 15:56:33.816"
2,"9999","T1_BasicMechanics","[2;3;]","[2;1;]","2024-9-12 17:13:29.735"
3,"9999","T1_BasicMechanics","[2;3;]","[2;1;]","2024-9-12 17:15:9.549"
4,"67","T2_BasicEmergency","[2;3;]","[2;1;]","2024-9-16 11:31:14.913"
5,"68","T2_BasicEmergency","[2;3;]","[1;2;]","2024-9-16 11:46:4.239"
6,"68","T2_BasicEmergency","[2;]","[1;]","2024-9-16 11:46:8.11"
7,"69","T2_BasicEmergency","[2;3;]","[2;1;]","2024-9-16 11:52:19.152"
8,"70","T2_BasicEmergency","[2;3;]","[2;1;]","2024-9-16 12:6:36.824"
9,"71","T2_BasicEmergency","[2;3;]","[2;1;]","2024-9-16 12:14:22.385"
10,"72","T2_BasicEmergency","[2;3;]","[2;1;]","2024-9-16 12:17:13.878"
11,"73","T2_BasicEmergency","[2;3;]","[2;1;]","2024-9-16 12:40:17.614"
12,"74","T2_BasicEmergency","[2;3;]","[2;1;]","2024-9-16 12:58:38.635"
13,"75","T2_BasicEmergency","[2;3;]","[2;1;]","2024-9-16 13:1:9.695"
14,"76","T2_BasicEmergency","[2;3;]","[2;1;]","2024-9-16 13:4:43.199"
15,"77","T2_BasicEmergency","[2;3;]","[2;1;]","2024-9-16 13:6:6.202"
16,"78","T2_BasicEmergency","[2;3;]","[2;1;]","2024-9-16 13:10:29.427"
17,"107","T2_BasicEmergency","[2;3;]","[2;1;]","2024-9-17 16:19:45.824"
18,"113","T2_BasicEmergency","[2;3;]","[2;1;]","2024-9-18 9:53:48.306"
19,"119","S2_BasicEmergency","[5;]","[1;]","2024-9-18 11:29:12.892"
20,"119","S2_BasicEmergency","[4;]","[1;]","2024-9-18 11:30:1.335"
21,"119","S2_BasicEmergency","[2;]","[2;]","2024-9-18 11:31:39.542"
22,"119","S2_BasicEmergency","[3;]","[1;]","2024-9-18 11:32:4.237"
23,"120","S2_BasicEmergency","[3;]","[1;]","2024-9-18 11:49:34.996"
24,"124","S2_BasicEmergency","[3;4;5;]","[1;1;1;]","2024-9-18 12:53:25.510"
25,"125","S2_BasicEmergency","[4;]","[1;]","2024-9-18 12:57:57.756"
26,"126","S2_BasicEmergency","[4;]","[1;]","2024-9-18 13:9:40.690"
27,"126","S2_BasicEmergency","[]","[]","2024-9-18 13:9:41.880"
