id,user_id,scenario_type,epd_id,dose_rate,dose_absortion,event_position,event_datetime
0,"9999","Develop","0","[0.0;56.822298;3.844574;1.21582;0.585858;0.34375;0.226071;0.160119;0.119485;0.092697;]","[0.0;0.037196;0.039603;0.039889;0.040004;0.040066;0.040105;0.040131;0.040151;0.040166;]","[(0.0;0.0);(42.555355;-2.25692);(109.36602;-15.497544);(171.839142;-27.27689);(234.361923;-39.073063);(296.91864;-50.92387);(359.416016;-62.838291);(421.741547;-74.815437);(483.751099;-86.829453);(545.302307;-98.838692);]","[2024-9-10 14:57:30.755;2024-9-10 14:57:31.133;2024-9-10 14:57:31.644;2024-9-10 14:57:32.145;2024-9-10 14:57:32.645;2024-9-10 14:57:33.145;2024-9-10 14:57:33.645;2024-9-10 14:57:34.144;2024-9-10 14:57:34.645;2024-9-10 14:57:35.144;]"
1,"9999","Develop","0","[0.074118;0.060712;0.050727;0.043091;0.037119;0.032355;0.028487;0.025298;0.022628;0.020365;]","[0.040177;0.040187;0.040194;0.040201;0.040207;0.040211;0.040216;0.040219;0.040223;0.040226;]","[(606.276978;-110.793129);(666.602661;-122.641487);(726.266968;-134.340363);(785.3302;-145.863556);(843.866638;-157.200882);(902.04718;-168.371918);(959.973938;-179.399582);(1017.809692;-190.334518);(1075.669312;-201.232925);(1133.586304;-212.137131);]","[2024-9-10 14:57:35.645;2024-9-10 14:57:36.145;2024-9-10 14:57:36.645;2024-9-10 14:57:37.145;2024-9-10 14:57:37.645;2024-9-10 14:57:38.145;2024-9-10 14:57:38.645;2024-9-10 14:57:39.145;2024-9-10 14:57:39.645;2024-9-10 14:57:40.146;]"
2,"9999","Develop","0","[0.0;421.8;4.390333;1.252542;0.608498;0.345215;0.22559;0.15407;0.114671;0.090475;]","[0.0;0.048819;0.052966;0.05331;0.05343;0.053492;0.05353;0.053556;0.053575;0.053589;]","[(0.0;0.0);(31.532646;1.682558);(64.304642;-4.612959);(97.978134;-9.954951);(137.644531;-17.467047);(168.678833;-24.826389);(206.567474;-30.063616);(241.806976;-38.633141);(273.690186;-44.02211);(312.818329;-50.903347);]","[2024-9-10 15:0:27.8;2024-9-10 15:0:27.228;2024-9-10 15:0:27.733;2024-9-10 15:0:28.237;2024-9-10 15:0:28.737;2024-9-10 15:0:29.236;2024-9-10 15:0:29.737;2024-9-10 15:0:30.237;2024-9-10 15:0:30.736;2024-9-10 15:0:31.237;]"
3,"9999","Develop","0","[0.071341;0.058201;0.047976;0.04061;0.035326;0.030366;0.026552;0.02342;0.020894;0.018923;]","[0.0536;0.053609;0.053616;0.053622;0.053627;0.053632;0.053636;0.053639;0.053642;0.053645;]","[(343.416687;-58.52663);(379.413422;-63.387081);(415.198059;-71.585274);(445.266785;-77.380936);(483.531982;-83.476128);(514.24115;-91.396446);(547.905273;-95.998138);(583.93457;-103.821404);(612.734009;-109.837326);(649.818481;-115.327759);]","[2024-9-10 15:0:31.737;2024-9-10 15:0:32.237;2024-9-10 15:0:32.749;2024-9-10 15:0:33.246;2024-9-10 15:0:33.746;2024-9-10 15:0:34.246;2024-9-10 15:0:34.745;2024-9-10 15:0:35.246;2024-9-10 15:0:35.746;2024-9-10 15:0:36.245;]"
4,"9999","Develop","0","[0.0;12.146294;0.973963;0.338343;0.171947;0.10295;0.069285;0.04941;0.03735;0.029069;]","[0.0;0.035365;0.035933;0.036012;0.036045;0.036064;0.036075;0.036084;0.036089;0.036094;]","[(0.0;0.0);(3.234338;-5.436159);(29.797247;-30.041691);(56.402035;-54.579922);(82.873276;-78.977036);(109.210175;-103.235336);(135.41124;-127.356934);(161.474533;-151.343887);(187.398697;-175.198624);(213.182281;-198.923599);]","[2024-9-10 15:1:38.296;2024-9-10 15:1:38.628;2024-9-10 15:1:39.144;2024-9-10 15:1:39.644;2024-9-10 15:1:40.144;2024-9-10 15:1:40.644;2024-9-10 15:1:41.144;2024-9-10 15:1:41.644;2024-9-10 15:1:42.144;2024-9-10 15:1:42.643;]"
5,"9999","Develop","0","[0.0234;0.019202;0.016077;0.013669;0.011758;0.010251;0.008996;0.007989;0.007122;0.006413;]","[0.036098;0.036101;0.036103;0.036105;0.036107;0.036108;0.03611;0.036111;0.036112;0.036113;]","[(238.829117;-222.523178);(264.328552;-245.996704);(289.683289;-269.348206);(314.893219;-292.580658);(339.958038;-315.69696);(364.878754;-338.70047);(389.6521;-361.592621);(414.279633;-384.376678);(438.761932;-407.055328);(463.099518;-429.631012);]","[2024-9-10 15:1:43.144;2024-9-10 15:1:43.644;2024-9-10 15:1:44.144;2024-9-10 15:1:44.643;2024-9-10 15:1:45.143;2024-9-10 15:1:45.644;2024-9-10 15:1:46.144;2024-9-10 15:1:46.644;2024-9-10 15:1:47.145;2024-9-10 15:1:47.643;]"
6,"9999","Develop","0","[0.0;46.267498;1.170423;0.370418;0.18419;0.11415;0.073242;0.051992;0.03927;0.031019;]","[0.0;0.03667;0.037736;0.037829;0.037866;0.037885;0.037898;0.037906;0.037913;0.037917;]","[(0.0;0.0);(39.22562;2.94683);(69.222435;3.877036);(105.902756;5.597254);(132.955399;6.94289);(169.323807;8.772784);(196.064499;9.975913);(232.097778;11.91619);(258.558685;12.977544);(294.228546;15.02821);]","[2024-9-10 15:13:21.122;2024-9-10 15:13:21.498;2024-9-10 15:13:22.7;2024-9-10 15:13:22.508;2024-9-10 15:13:23.9;2024-9-10 15:13:23.508;2024-9-10 15:13:24.8;2024-9-10 15:13:24.508;2024-9-10 15:13:25.8;2024-9-10 15:13:25.509;]"
7,"9999","Develop","0","[0.024313;0.020008;0.016819;0.014345;0.012143;0.010638;0.009377;0.008305;0.007333;0.006646;]","[0.037921;0.037924;0.037927;0.037929;0.037931;0.037932;0.037934;0.037935;0.037936;0.037937;]","[(320.448547;15.95112);(355.730255;18.106209);(381.740479;18.898319);(416.601257;21.15276);(442.435852;21.815771);(476.84726;24.167664);(502.544556;24.708891);(536.489441;27.147642);(562.069397;27.575533);(595.541931;30.092173);]","[2024-9-10 15:13:26.9;2024-9-10 15:13:26.509;2024-9-10 15:13:27.8;2024-9-10 15:13:27.509;2024-9-10 15:13:28.9;2024-9-10 15:13:28.508;2024-9-10 15:13:29.8;2024-9-10 15:13:29.508;2024-9-10 15:13:30.9;2024-9-10 15:13:30.509;]"
8,"9999","Develop","0","[0.0;421.8;2.050164;0.705759;0.324128;0.208204;0.129487;0.09531;0.071071;0.054265;]","[0.0;0.048819;0.050419;0.050573;0.050642;0.050678;0.050701;0.050716;0.050727;0.050736;]","[(0.0;0.0);(31.070786;0.115055);(42.752922;0.80123);(59.744019;1.534184);(73.274651;2.38317);(86.563332;3.081143);(103.365486;3.901899);(113.855392;4.648605);(130.783173;5.371955);(143.492874;6.196668);]","[2024-9-10 15:15:37.516;2024-9-10 15:15:37.768;2024-9-10 15:15:38.273;2024-9-10 15:15:38.773;2024-9-10 15:15:39.279;2024-9-10 15:15:39.787;2024-9-10 15:15:40.286;2024-9-10 15:15:40.791;2024-9-10 15:15:41.292;2024-9-10 15:15:41.796;]"
9,"9999","Develop","0","[0.044802;0.035618;0.030464;0.025544;0.021972;0.019274;0.016694;0.015003;0.01322;0.011972;]","[0.050743;0.050749;0.050753;0.050757;0.05076;0.050763;0.050766;0.050768;0.05077;0.050772;]","[(156.213181;6.864774);(172.946411;7.660814);(183.058044;8.396147);(199.018051;9.082562);(212.429504;9.890697);(223.628647;10.549597);(240.517197;11.301847);(250.717194;12.048366);(265.257141;12.698513);(279.584045;13.489109);]","[2024-9-10 15:15:42.296;2024-9-10 15:15:42.797;2024-9-10 15:15:43.296;2024-9-10 15:15:43.796;2024-9-10 15:15:44.297;2024-9-10 15:15:44.797;2024-9-10 15:15:45.297;2024-9-10 15:15:45.797;2024-9-10 15:15:46.298;2024-9-10 15:15:46.798;]"
10,"10","S1_BasicMechanics","2","[]","[]","[]","[]"
11,"10","S1_BasicMechanics","2","[]","[]","[]","[]"
12,"10","S1_BasicMechanics","2","[]","[]","[]","[]"
13,"11","T1_BasicMechanics","3","[0.0;1.901054;1.901097;1.901097;1.901097;1.901097;1.901097;1.901097;1.901097;1.901097;]","[0.0;0.000207;0.000482;0.000748;0.001014;0.001278;0.001543;0.001821;0.002086;0.002364;]","[(2049.897705;12101.4375);(2049.896729;12101.4375);(2049.896729;12101.4375);(2049.896729;12101.4375);(2049.896729;12101.4375);(2049.896729;12101.4375);(2049.896729;12101.4375);(2049.896729;12101.4375);(2049.896729;12101.4375);(2049.896729;12101.4375);]","[2024-9-12 15:55:41.257;2024-9-12 15:55:41.761;2024-9-12 15:55:42.267;2024-9-12 15:55:42.769;2024-9-12 15:55:43.273;2024-9-12 15:55:43.774;2024-9-12 15:55:44.278;2024-9-12 15:55:44.801;2024-9-12 15:55:45.303;2024-9-12 15:55:45.830;]"
14,"11","T1_BasicMechanics","3","[0.0;1.996653;1.996703;1.996703;1.996703;1.996703;1.996703;1.996703;1.996703;1.996703;]","[0.0;0.000218;0.000506;0.000786;0.001065;0.001342;0.00162;0.001912;0.002191;0.002483;]","[(2021.960449;12048.907227);(2021.961548;12048.907227);(2021.961548;12048.907227);(2021.961548;12048.907227);(2021.961548;12048.907227);(2021.961548;12048.907227);(2021.961548;12048.907227);(2021.961548;12048.907227);(2021.961548;12048.907227);(2021.961548;12048.907227);]","[2024-9-12 15:55:41.258;2024-9-12 15:55:41.761;2024-9-12 15:55:42.267;2024-9-12 15:55:42.769;2024-9-12 15:55:43.273;2024-9-12 15:55:43.774;2024-9-12 15:55:44.278;2024-9-12 15:55:44.801;2024-9-12 15:55:45.303;2024-9-12 15:55:45.830;]"
15,"11","T1_BasicMechanics","3","[0.0;1.898337;1.898382;1.898382;1.898382;1.898382;1.898382;1.898382;1.898382;1.898382;]","[0.0;0.000207;0.000481;0.000747;0.001012;0.001276;0.001541;0.001818;0.002083;0.002361;]","[(2052.323486;12066.061523);(2052.32373;12066.0625);(2052.32373;12066.0625);(2052.32373;12066.0625);(2052.32373;12066.0625);(2052.32373;12066.0625);(2052.32373;12066.0625);(2052.32373;12066.0625);(2052.32373;12066.0625);(2052.32373;12066.0625);]","[2024-9-12 15:55:41.258;2024-9-12 15:55:41.761;2024-9-12 15:55:42.267;2024-9-12 15:55:42.769;2024-9-12 15:55:43.273;2024-9-12 15:55:43.774;2024-9-12 15:55:44.278;2024-9-12 15:55:44.801;2024-9-12 15:55:45.303;2024-9-12 15:55:45.831;]"
16,"11","T1_BasicMechanics","3","[0.0;1.802252;1.802294;1.802294;1.802294;1.802294;1.802294;1.802294;1.802294;1.802294;]","[0.0;0.000197;0.000457;0.000709;0.000961;0.001212;0.001463;0.001726;0.001978;0.002242;]","[(2084.765625;12066.585938);(2084.764404;12066.585938);(2084.764404;12066.585938);(2084.764404;12066.585938);(2084.764404;12066.585938);(2084.764404;12066.585938);(2084.764404;12066.585938);(2084.764404;12066.585938);(2084.764404;12066.585938);(2084.764404;12066.585938);]","[2024-9-12 15:55:41.259;2024-9-12 15:55:41.761;2024-9-12 15:55:42.267;2024-9-12 15:55:42.769;2024-9-12 15:55:43.273;2024-9-12 15:55:43.774;2024-9-12 15:55:44.278;2024-9-12 15:55:44.801;2024-9-12 15:55:45.303;2024-9-12 15:55:45.831;]"
17,"11","T1_BasicMechanics","3","[1.901097;1.901097;1.901097;1.901097;1.901097;1.901097;1.901097;1.901097;1.901097;1.901097;]","[0.002629;0.002895;0.003173;0.003438;0.003702;0.003966;0.004233;0.004508;0.004774;0.005038;]","[(2049.896729;12101.4375);(2049.896729;12101.4375);(2049.896729;12101.4375);(2049.896729;12101.4375);(2049.896729;12101.4375);(2049.896729;12101.4375);(2049.896729;12101.4375);(2049.896729;12101.4375);(2049.896729;12101.4375);(2049.896729;12101.4375);]","[2024-9-12 15:55:46.332;2024-9-12 15:55:46.833;2024-9-12 15:55:47.362;2024-9-12 15:55:47.863;2024-9-12 15:55:48.363;2024-9-12 15:55:48.863;2024-9-12 15:55:49.365;2024-9-12 15:55:49.890;2024-9-12 15:55:50.390;2024-9-12 15:55:50.892;]"
18,"11","T1_BasicMechanics","3","[1.996703;1.996703;1.996703;1.996703;1.996703;1.996703;1.996703;1.996703;1.996703;1.996703;]","[0.002761;0.00304;0.003333;0.00361;0.003888;0.004166;0.004446;0.004735;0.005014;0.005291;]","[(2021.961548;12048.907227);(2021.961548;12048.907227);(2021.961548;12048.907227);(2021.961548;12048.907227);(2021.961548;12048.907227);(2021.961548;12048.907227);(2021.961548;12048.907227);(2021.961548;12048.907227);(2021.961548;12048.907227);(2021.961548;12048.907227);]","[2024-9-12 15:55:46.332;2024-9-12 15:55:46.833;2024-9-12 15:55:47.362;2024-9-12 15:55:47.863;2024-9-12 15:55:48.364;2024-9-12 15:55:48.863;2024-9-12 15:55:49.365;2024-9-12 15:55:49.890;2024-9-12 15:55:50.390;2024-9-12 15:55:50.892;]"
19,"11","T1_BasicMechanics","3","[1.898382;1.898382;1.898382;1.898382;1.898382;1.898382;1.898382;1.898382;1.898382;1.898382;]","[0.002625;0.00289;0.003168;0.003433;0.003697;0.003961;0.004227;0.004502;0.004767;0.005031;]","[(2052.32373;12066.0625);(2052.32373;12066.0625);(2052.32373;12066.0625);(2052.32373;12066.0625);(2052.32373;12066.0625);(2052.32373;12066.0625);(2052.32373;12066.0625);(2052.32373;12066.0625);(2052.32373;12066.0625);(2052.32373;12066.0625);]","[2024-9-12 15:55:46.332;2024-9-12 15:55:46.833;2024-9-12 15:55:47.362;2024-9-12 15:55:47.863;2024-9-12 15:55:48.364;2024-9-12 15:55:48.863;2024-9-12 15:55:49.365;2024-9-12 15:55:49.890;2024-9-12 15:55:50.390;2024-9-12 15:55:50.892;]"
